dist,arriv,dist_syr,shelter,wc,school,health,toilet,toilet_connection,toilet_floor,male,female,hh_size,total_not_enrolled,numbers_disabled,age_00_04,age_05_09,age_10_14,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_60_64,age_65_69,age_70_74,age_75_79,age_80,age_brackets
District 06,2014/02,Izra',Caravan, 50-99m,400-700m,100-199m,Yes,No connection,Concrete,3-5,1-2,7,0,0,2,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
District 10,2012/12,As Sanamayn,Caravan, 0-49m,200-399m,400-799m,Yes,No connection,Concrete,3-5,3-5,9,1-2,0,2,2,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
District 05,2013/04,Izra',Caravan, 0-49m,100-199m,100-199m,Yes,No connection,Concrete,3-5,3-5,8,1-2,0,2,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
District 01,2012/07,Dar'a,Caravan,100-149m, 0-99m,100-199m,Yes,Septic tank,Concrete,3-5,1-2,6,1-2,0,1,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
District 12,2012/12,Izra',Caravan, 0-49m,100-199m,400-799m,Yes,No connection,Concrete,3-5,3-5,7,3-5,0,1,0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
District 04,2013/04,Dar'a,Caravan, 50-99m,200-399m,200-399m,Yes,No connection,Concrete,3-5,1-2,5,0,0,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
District 06,2013/11,As Sanamayn,Caravan, 0-49m,200-399m,400-799m,Yes,Sewage network,Concrete,3-5,3-5,9,3-5,0,2,1,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
District 10,2013/02,Izra',Caravan, 50-99m,200-399m,200-399m,Yes,No connection,Concrete,3-5,3-5,7,1-2,0,1,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
District 02,2012/12,Dar'a,Caravan,150-199m, 0-99m, 0-99m,Yes,Septic tank,Concrete,3-5,3-5,8,1-2,0,1,1,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
District 04,2014/04,At Tall,Caravan,100-149m,100-199m, 0-99m,Yes,No connection,Concrete,3-5,3-5,6,1-2,0,1,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
District 02,2012/07,Izra',Caravan,200+m,200-399m,100-199m,Yes,Don't know,Concrete,3-5,1-2,5,1-2,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
District 08,2014/04,Duma,Caravan, 0-49m,200-399m,400-799m,Yes,Septic tank,Concrete,3-5,3-5,6,1-2,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
District 09,2012/10,Izra',Caravan, 0-49m,400-700m,200-399m,Yes,Sewage network,Concrete,3-5,1-2,5,1-2,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
District 06,2013/02,As Sanamayn,Caravan, 50-99m,400-700m,400-799m,Yes,Sewage network,Concrete,3-5,1-2,5,1-2,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
District 12,2013/04,Izra',Caravan,100-149m,200-399m,400-799m,Yes,No connection,Concrete,3-5,3-5,7,1-2,0,1,0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
District 02,2012/11,Dar'a,Caravan, 50-99m,400-700m,400-799m,Yes,Septic tank,Concrete,3-5,3-5,8,1-2,0,2,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
